run_id,mixture,operating_point,experiment,split_label,normality_label,sensor_member,actuator_member,metadata_member,gc_member,oplog_member,has_sensor,has_actuator,has_metadata,has_gc_timeseries,has_oplog,n_sensor_rows,duration_seconds,duration_minutes,anomaly_points,first_anomaly_fraction
batch_dist_binary_ethanol+propan-2-ol__operating_point_001__test_anormal_experiment_001,batch_dist_binary_ethanol+propan-2-ol,operating_point_001,test_anormal_experiment_001,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_001.csv,,True,True,True,True,False,2854,2853.0,47.55,384,0.1331931300385559
batch_dist_binary_ethanol+propan-2-ol__operating_point_001__test_anormal_experiment_002,batch_dist_binary_ethanol+propan-2-ol,operating_point_001,test_anormal_experiment_002,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_002.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_002.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_002.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_binary_ethanol+propan-2-ol/operating_point_001/test_anormal_experiment_002.csv,,True,True,True,True,False,514,513.0,8.55,170,0.0
batch_dist_binary_ethanol+propan-2-ol__operating_point_002__train_normal_experiment_001,batch_dist_binary_ethanol+propan-2-ol,operating_point_002,train_normal_experiment_001,train,normal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_001.csv,,,True,True,True,False,False,2480,2479.0,41.31666666666667,0,
batch_dist_binary_ethanol+propan-2-ol__operating_point_002__train_normal_experiment_002,batch_dist_binary_ethanol+propan-2-ol,operating_point_002,train_normal_experiment_002,train,normal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_002.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_002.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_002.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_binary_ethanol+propan-2-ol/operating_point_002/train_normal_experiment_002.csv,,True,True,True,True,False,7118,7117.0,118.61666666666666,0,
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_001__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_001,test_anormal_experiment_001,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_001.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_001.csv,True,True,True,True,True,5457,5456.0,90.93333333333334,246,0.5670821114369502
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_001__test_anormal_experiment_002,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_001,test_anormal_experiment_002,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002.csv,True,True,True,True,True,3440,3439.0,57.31666666666667,1848,0.4629252689735388
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_002__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_002,test_anormal_experiment_001,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001.csv,True,True,True,True,True,4155,4154.0,69.23333333333333,1951,0.4655753490611459
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_002__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_002,train_normal_experiment_001,train,normal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/train_normal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/train_normal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/train_normal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/train_normal_experiment_001.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/train_normal_experiment_001.csv,True,True,True,True,True,3512,3511.0,58.516666666666666,0,
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_003__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_003,test_anormal_experiment_001,test,anormal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001.csv,True,True,True,True,True,3526,3525.0,58.75,1911,0.4581560283687943
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_003__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_003,train_normal_experiment_001,train,normal,01_Batch_Distillation_Plant_M-202210_Timeseries_Sensors/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/train_normal_experiment_001.csv,02_Batch_Distillation_Plant_M-202210_Timeseries_Actuators/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/train_normal_experiment_001.csv,00_Batch_Distillation_Plant_M-202210_Timeseries_Label_Anomaly_Metadata/Operation/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/train_normal_experiment_001.csv,10_Batch_Distillation_Plant_M-202210_GC_Composition/timeseries/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/train_normal_experiment_001.csv,07_Batch_Distillation_Plant_M-202210_Tabular_Operation_Logs/batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/train_normal_experiment_001.csv,True,True,True,True,True,4879,4878.0,81.3,0,
