stop_quantile,n_seeds,mean_actual_completed_stop_rate,mean_actual_oracle_stop_rate,valuable_run_recall_delta_mean,valuable_run_recall_delta_median,valuable_run_recall_delta_lower,valuable_run_recall_delta_upper,valuable_run_recall_delta_std,valuable_run_recall_fraction_delta_below_zero,valuable_run_recall_fraction_delta_above_zero,valuable_false_stop_rate_delta_mean,valuable_false_stop_rate_delta_median,valuable_false_stop_rate_delta_lower,valuable_false_stop_rate_delta_upper,valuable_false_stop_rate_delta_std,valuable_false_stop_rate_fraction_delta_below_zero,valuable_false_stop_rate_fraction_delta_above_zero,simple_regret_batch_delta_mean,simple_regret_batch_delta_median,simple_regret_batch_delta_lower,simple_regret_batch_delta_upper,simple_regret_batch_delta_std,simple_regret_batch_fraction_delta_below_zero,simple_regret_batch_fraction_delta_above_zero,mae_delta_mean,mae_delta_median,mae_delta_lower,mae_delta_upper,mae_delta_std,mae_fraction_delta_below_zero,mae_fraction_delta_above_zero,spearman_delta_mean,spearman_delta_median,spearman_delta_lower,spearman_delta_upper,spearman_delta_std,spearman_fraction_delta_below_zero,spearman_fraction_delta_above_zero,endpoint_selection_bias_delta_mean,endpoint_selection_bias_delta_median,endpoint_selection_bias_delta_lower,endpoint_selection_bias_delta_upper,endpoint_selection_bias_delta_std,endpoint_selection_bias_fraction_delta_below_zero,endpoint_selection_bias_fraction_delta_above_zero
0.1,50,0.08697955988072267,0.08434861718001253,0.001348824786324784,0.0,-0.008333333333333333,0.012499999999999997,0.03550025765039543,0.041666666666666664,0.041666666666666664,-0.001348824786324786,0.0,-0.011979166666666666,0.008413461538461538,0.03550025765039543,0.041666666666666664,0.041666666666666664,0.0022844798325505657,0.0,0.0,0.006634957715372014,0.014658885427610999,0.0,0.04,0.00012075311793490292,0.0,-0.0003306191378163056,0.0006072779447329467,0.0017078712539385687,0.48,0.24,-0.006372724715873951,0.0,-0.023280102805278587,0.008763747171738834,0.05927447067152714,0.38,0.34,-0.00038639810497925086,0.0,-0.0013629027782086258,0.0003243633271945028,0.003068940262842478,0.2,0.1
0.15,50,0.19018951031413522,0.18526430439183628,-0.002597633847633849,0.0,-0.029689283517408516,0.023043053589928583,0.09360576737984422,0.16666666666666666,0.16666666666666666,0.002597633847633849,0.0,-0.02301249676249676,0.028917566808191807,0.09360576737984422,0.16666666666666666,0.16666666666666666,-0.002065998050270883,0.0,-0.011073033343316257,0.006120499681262858,0.03101409501929358,0.06,0.06,0.0002573410575851534,-8.651842714259977e-05,-0.0003975691404736608,0.000967713323866762,0.0023869300168876265,0.56,0.42,-0.012240279290856016,0.004323467102718609,-0.0316409492407203,0.006945764351933623,0.07283188605728338,0.48,0.5,0.0006646000731042245,0.0,-0.0005715358041348479,0.0019122227004229732,0.004410680737461283,0.28,0.42
0.2,50,0.25469416082403706,0.24735728967611936,-0.019017267454767454,0.0,-0.04244343041218042,0.005666619260369262,0.0826023280319248,0.25,0.125,0.019017267454767454,0.0,-0.0027250816313316322,0.042724835927960905,0.0826023280319248,0.125,0.25,-0.0027543376589614543,0.0,-0.010341807497589466,0.004701425785963372,0.027816108647934587,0.06,0.06,0.0009255735504411525,0.00034629586462764025,0.0002546474270565842,0.0016646196572778248,0.002634637183851633,0.32,0.66,-0.02717767236727371,-0.011775949618262574,-0.048273134486813564,-0.0058053370781203,0.07820693882906316,0.6,0.38,-0.0006164401371166184,-9.881178307280525e-05,-0.0016645465788133066,0.0003350720863941563,0.0035582656114418,0.52,0.36
0.25,50,0.3530140512362005,0.2937409392535987,-0.08410790598290598,0.0,-0.14461826079013576,-0.03396317368973618,0.19496520549625734,0.3125,0.08333333333333333,0.08410790598290598,0.0,0.03472230315980317,0.14284589397870645,0.19496520549625734,0.08333333333333333,0.3125,-0.0015791993611993435,0.0,-0.011489685525557765,0.008234431018492139,0.03483218426698635,0.06666666666666667,0.06666666666666667,-0.00032772640508780106,0.00017879276004360498,-0.001550807097216501,0.0008380527052885222,0.004404582664363579,0.42,0.56,-0.023482706953336634,-0.0070885493511749775,-0.04922921187871856,0.0013929906112034754,0.08650820279676656,0.5333333333333333,0.4222222222222222,-0.0010732162767055748,-0.00017112574889843746,-0.0025164433303103946,0.000266427641831713,0.0048089448099502925,0.5333333333333333,0.3111111111111111
0.3,50,0.3865117860595167,0.3133659237652111,-0.1078986985236985,0.0,-0.17710077538202537,-0.050954135563510625,0.2168592090530742,0.3958333333333333,0.08333333333333333,0.1078986985236985,0.0,0.05372253614441114,0.17039372808904052,0.2168592090530742,0.08333333333333333,0.3958333333333333,0.0009809095539444958,0.0,-0.007489042622356531,0.01028374788523284,0.03065453967441374,0.045454545454545456,0.06818181818181818,-0.0004506787959480825,0.00023678634677777588,-0.0017198990608240526,0.0007712348499611934,0.0045360961971770645,0.44,0.56,-0.028088938434364927,-0.01166118217007437,-0.05516485041005435,-0.004597137424582193,0.08609849466470808,0.5909090909090909,0.4090909090909091,-0.001411808184039273,-0.00038588200055450494,-0.0028655156876260398,2.3066946343508014e-07,0.005025289799392656,0.5681818181818182,0.3181818181818182
0.35,50,0.415147150944694,0.33156961123634043,-0.11748864561364562,0.0,-0.18086687617937613,-0.0558428940850816,0.2301702995859931,0.375,0.08333333333333333,0.11748864561364562,0.0,0.059479541002978496,0.18529869436119428,0.2301702995859931,0.08333333333333333,0.375,0.0010276195327037576,0.0,-0.007845663699611604,0.011034798697954403,0.031392526106921614,0.047619047619047616,0.07142857142857142,-0.000738594644559539,0.00020794297676229867,-0.002005696293897303,0.0004731555207728972,0.004498415653516429,0.44,0.56,-0.025556780173298977,-0.01166118217007437,-0.05021058395093132,-0.003400582444693683,0.07842342845526709,0.5476190476190477,0.4523809523809524,-0.0011926855052094697,-0.00024980380679190395,-0.002538027555174199,5.046546971917713e-05,0.004412078192656062,0.5476190476190477,0.35714285714285715
0.4,50,0.43155088249358686,0.34577089800739463,-0.12244445369445371,0.0,-0.19144331796675548,-0.06188088531838532,0.23631918522396034,0.3958333333333333,0.10416666666666667,0.12244445369445371,0.0,0.0576572357041107,0.19611893459549706,0.23631918522396034,0.10416666666666667,0.3958333333333333,-0.0018748297467693165,0.0,-0.013158000483668785,0.009561688822094442,0.036983809472741776,0.07317073170731707,0.07317073170731707,-0.0010221875999939156,0.00020794297676229867,-0.0024189518010835276,0.00018517054931900688,0.004762308095893314,0.48,0.52,-0.025122950525915823,-0.011680946207345028,-0.05060719998009003,-0.0018931833444095802,0.08097707115393411,0.5365853658536586,0.4634146341463415,-0.0012165083121283458,-0.0005867261718766059,-0.002674793729096068,0.0001805203653416083,0.004732231301901092,0.5853658536585366,0.34146341463414637
0.45,50,0.470770999585797,0.3615797287115741,-0.17471348096348094,0.0,-0.25849183802308806,-0.09871980016511268,0.284779690982593,0.4583333333333333,0.08333333333333333,0.17471348096348094,0.0,0.09961526320901325,0.2542825663919413,0.284779690982593,0.08333333333333333,0.4583333333333333,-0.003983519813253565,0.0,-0.015223778838174851,0.0063449893411713365,0.03409816736294846,0.07692307692307693,0.07692307692307693,-0.001520919298363036,0.0002567484283127787,-0.0032756631019756717,5.087733690494302e-05,0.005853552967390815,0.46,0.54,-0.02952149237280935,-0.012837840819429822,-0.057594004965745176,-0.003709400974187051,0.08533411582550446,0.5384615384615384,0.46153846153846156,-0.0012840105462828104,-0.0004725750689774655,-0.0028892500197365517,0.0003379228039569035,0.005160691080607287,0.5641025641025641,0.358974358974359
0.5,50,0.5204238192415237,0.3841519992286122,-0.16457969114219115,0.0,-0.2407304891289266,-0.0929054972804973,0.2616388891108449,0.4375,0.125,0.16457969114219115,0.0,0.09115802166583417,0.23687485257797755,0.2616388891108448,0.125,0.4375,-0.008177553159961512,0.0,-0.021864321501020082,0.0038004437712814815,0.03957814904131926,0.1111111111111111,0.05555555555555555,-0.0020922300441996466,-0.00023723939652731812,-0.003963079173444348,-0.0005081725594976139,0.006263203458689488,0.52,0.48,-0.0327980625142317,-0.012239629476116768,-0.061478457231457354,-0.006447122502760888,0.08437585695601155,0.5555555555555556,0.4444444444444444,-0.0006140287334435292,-0.00012667631295043558,-0.002350713133451211,0.0010592088578902465,0.0052717218092952454,0.5,0.4166666666666667
0.55,50,0.5289285240890642,0.39730657021401583,-0.1327084373959374,0.0,-0.21598475743006992,-0.04408154345654348,0.30739745297606713,0.4166666666666667,0.1875,0.1327084373959374,0.0,0.04361567252192252,0.22227781766844268,0.30739745297606713,0.1875,0.4166666666666667,-0.017303651326605995,0.0,-0.03767965748223212,-0.0008334978020738989,0.05758703370028203,0.16666666666666666,0.027777777777777776,-0.0022384680034046372,-0.0002631435688368114,-0.0039512224890034565,-0.0007004440517612942,0.00620550772979921,0.54,0.46,-0.029143810718033045,-0.011116123593418813,-0.057163708983175916,-0.0032650772446428987,0.084110969961253,0.5277777777777778,0.4722222222222222,0.00031667885360494213,5.934904780424688e-05,-0.0014292727893391954,0.0021448506913322295,0.005726373601371078,0.4166666666666667,0.5
